------------------------------------------------------------------- 
Name: 90 
Date: 2018-04-19 
Number of Terminations: 44 
Number of Bifurcations: 64 
------------------------------------------------------------------- 
------------------------------------------------------------------- 
Terminations : 
------------------------------------------------------------------- 
X          Y     Angle 
NaN 	 NaN 	 NaN 
262 	  36 	 -0.52 
262 	  43 	 0.52 
201 	  67 	 2.36 
 63 	  68 	 0.52 
226 	  78 	 2.09 
NaN 	 NaN 	 NaN 
 61 	  87 	 1.05 
221 	  89 	 1.57 
NaN 	 NaN 	 NaN 
228 	  94 	 -1.57 
 96 	  95 	 -2.36 
242 	  99 	 -1.57 
211 	 105 	 -1.05 
 55 	 109 	 1.05 
108 	 109 	 -2.09 
226 	 111 	 1.57 
 96 	 115 	 0.79 
230 	 116 	 -1.05 
156 	 117 	 0.79 
 52 	 126 	 1.05 
NaN 	 NaN 	 NaN 
227 	 129 	 2.09 
230 	 135 	 -1.05 
202 	 137 	 -1.05 
 51 	 140 	 1.05 
 50 	 155 	 1.05 
 49 	 168 	 1.05 
 60 	 169 	 1.05 
211 	 170 	 -1.05 
157 	 174 	 -2.09 
137 	 179 	 -2.09 
NaN 	 NaN 	 NaN 
 53 	 189 	 0.79 
NaN 	 NaN 	 NaN 
123 	 193 	 -2.09 
NaN 	 NaN 	 NaN 
169 	 222 	 1.05 
NaN 	 NaN 	 NaN 
199 	 230 	 1.05 
207 	 242 	 2.09 
164 	 256 	 1.05 
176 	 271 	 0.79 
212 	 276 	 1.57 
------------------------------------------------------------------- 
Bifurcations : 
------------------------------------------------------------------- 
X          Y     Angle 1     Angle 2    Angle 3 
156 	  14 	 -2.36 	 	 NaN 	 	 0.00 
185 	  18 	 -2.62 	 	 NaN 	 	 -0.52 
148 	  20 	 -2.62 	 	 -1.57 	 	 0.52 
177 	  22 	 2.62 	 	 -1.57 	 	 0.52 
213 	  24 	 2.62 	 	 0.79 	 	 -0.52 
151 	  26 	 -2.36 	 	 2.09 	 	 0.52 
178 	  28 	 -2.36 	 	 2.09 	 	 0.00 
103 	  29 	 -2.36 	 	 1.57 	 	 -0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
 82 	  38 	 3.14 	 	 -1.57 	 	 1.05 
237 	  38 	 -2.62 	 	 2.09 	 	 -0.79 
231 	  40 	 2.09 	 	 -2.09 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
250 	  51 	 -2.62 	 	 2.09 	 	 -1.05 
 83 	  52 	 2.36 	 	 -1.05 	 	 0.79 
243 	  56 	 2.36 	 	 -1.05 	 	 0.52 
139 	  59 	 -2.36 	 	 1.05 	 	 -0.52 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
156 	  71 	 3.14 	 	 -1.57 	 	 0.52 
151 	  76 	 -2.62 	 	 1.57 	 	 0.52 
246 	  76 	 2.09 	 	 0.79 	 	 -0.79 
251 	  83 	 2.62 	 	 1.05 	 	 -1.05 
180 	  84 	 2.62 	 	 0.79 	 	 -0.52 
167 	  88 	 3.14 	 	 -2.09 	 	 0.52 
161 	  92 	 -2.62 	 	 1.57 	 	 0.00 
149 	  96 	 3.14 	 	 1.57 	 	 0.00 
268 	 100 	 2.36 	 	 -2.09 	 	 0.00 
138 	 105 	 3.14 	 	 1.05 	 	 -1.05 
156 	 106 	 3.14 	 	 -1.57 	 	 0.52 
167 	 109 	 -2.62 	 	 1.05 	 	 0.00 
264 	 111 	 3.14 	 	 1.05 	 	 -1.05 
128 	 121 	 -2.36 	 	 0.79 	 	 -0.79 
161 	 123 	 -2.62 	 	 1.57 	 	 0.52 
154 	 126 	 3.14 	 	 -1.57 	 	 0.52 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
149 	 132 	 -2.36 	 	 2.09 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
166 	 150 	 -2.62 	 	 0.79 	 	 -0.52 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
143 	 157 	 3.14 	 	 -1.57 	 	 0.79 
176 	 161 	 -2.62 	 	 1.57 	 	 -0.79 
139 	 162 	 -2.36 	 	 2.09 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
144 	 175 	 3.14 	 	 -2.09 	 	 1.05 
136 	 185 	 -2.36 	 	 1.57 	 	 0.52 
256 	 188 	 2.36 	 	 -1.05 	 	 0.52 
266 	 196 	 3.14 	 	 1.57 	 	 -0.79 
149 	 206 	 3.14 	 	 -1.05 	 	 0.79 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
240 	 244 	 2.36 	 	 -1.57 	 	 0.00 
 56 	 252 	 2.09 	 	 -2.09 	 	 0.52 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
101 	 256 	 3.14 	 	 -1.05 	 	 0.79 
236 	 264 	 3.14 	 	 1.57 	 	 -0.79 
205 	 266 	 3.14 	 	 -1.57 	 	 0.00 
NaN 	 NaN 	 0.00 	 	 0.00 	 	 0.00 
212 	 269 	 2.36 	 	 -1.57 	 	 0.00 
139 	 274 	 -2.62 	 	 1.05 	 	 -0.52 
155 	 274 	 -2.62 	 	 1.57 	 	 -0.79 
185 	 274 	 -2.36 	 	 0.52 	 	 -0.79 
160 	 279 	 2.36 	 	 -2.09 	 	 0.79 
145 	 280 	 2.36 	 	 -2.09 	 	 0.00 
